time,package,uid,immediate,schedulingon
1527426517469,com.android.systemui,10007,1,0
1527426527560,com.android.systemui,10007,1,0
1527426550489,com.sec.android.app.samsungapps,10025,1,0
1527426550497,com.sec.android.app.samsungapps,10025,1,0
1527426550635,kr.co.rinasoft.howuse,10251,1,0
1527426551313,com.sec.android.app.samsungapps,10025,1,0
1527426552327,com.sec.android.app.samsungapps,10025,1,0
1527426553348,com.sec.android.app.samsungapps,10025,1,0
1527426554339,com.sec.android.app.samsungapps,10025,1,0
1527426555362,com.sec.android.app.samsungapps,10025,1,0
1527426556343,com.sec.android.app.samsungapps,10025,1,0
1527426557351,com.sec.android.app.samsungapps,10025,1,0
1527426558040,com.sec.android.app.samsungapps,10025,1,0
1527426558935,com.sec.android.app.samsungapps,10025,1,0
1527426591485,com.sec.android.app.samsungapps,10025,1,0
1527426638175,com.android.systemui,10007,1,0
1527426658258,com.android.systemui,10007,1,0
1527426688420,com.android.systemui,10007,1,0
1527426704746,kr.co.rinasoft.howuse,10251,1,0
1527426718603,com.android.systemui,10007,1,0
1527426748748,com.android.systemui,10007,1,0
1527426768808,com.android.systemui,10007,1,0
1527426789060,com.android.systemui,10007,1,0
1527426802975,com.google.android.gm,10125,1,0
1527426803012,com.google.android.gm,10125,1,0
1527426819157,com.android.systemui,10007,1,0
1527426850045,com.android.systemui,10007,1,0
1527426896568,kr.co.rinasoft.howuse,10251,1,0
1527426899543,com.android.systemui,10007,1,0
1527426929821,com.android.systemui,10007,1,0
1527426949879,com.android.systemui,10007,1,0
1527426980395,com.google.android.gm,10125,1,0
1527426980455,com.google.android.gm,10125,1,0
1527426990114,com.android.systemui,10007,1,0
1527426993212,kr.co.rinasoft.howuse,10251,1,0
1527427020260,com.android.systemui,10007,1,0
1527427050431,com.android.systemui,10007,1,0
1527427070686,com.android.systemui,10007,1,0
1527427100776,com.android.systemui,10007,1,0
1527427120890,com.android.systemui,10007,1,0
1527427140983,com.android.systemui,10007,1,0
1527427147916,com.facebook.katana,10275,1,0
1527427149634,com.facebook.katana,10275,1,0
1527427158885,kr.co.rinasoft.howuse,10251,1,0
1527427159911,com.google.android.gm,10125,1,0
1527427159995,com.google.android.gm,10125,1,0
1527427171130,com.android.systemui,10007,1,0
1527427221453,com.android.systemui,10007,1,0
1527427222058,kr.co.rinasoft.howuse,10251,1,0
1527427241585,com.android.systemui,10007,1,0
1527427264609,com.facebook.orca,10292,1,0
1527427264654,com.facebook.orca,10292,1,0
1527427265678,com.facebook.orca,10292,1,0
1527427271659,com.android.systemui,10007,1,0
1527427284391,kr.co.rinasoft.howuse,10251,1,0
1527427322010,com.android.systemui,10007,1,0
1527427331615,com.facebook.orca,10292,1,0
1527427354748,com.facebook.orca,10292,1,0
1527427362306,com.android.systemui,10007,1,0
1527427369037,kr.co.rinasoft.howuse,10251,1,0
1527427382425,com.android.systemui,10007,1,0
1527427412577,com.android.systemui,10007,1,0
1527427442711,com.android.systemui,10007,1,0
1527427453939,kr.co.rinasoft.howuse,10251,1,0
1527427483039,com.android.systemui,10007,1,0
1527427519737,kr.co.rinasoft.howuse,10251,1,0
1527427553433,com.android.systemui,10007,1,0
1527427583636,com.android.systemui,10007,1,0
1527427603745,com.android.systemui,10007,1,0
1527427633949,com.android.systemui,10007,1,0
1527427654048,com.android.systemui,10007,1,0
1527427674145,com.android.systemui,10007,1,0
1527427704273,com.android.systemui,10007,1,0
1527427734473,com.android.systemui,10007,1,0
1527427754645,com.android.systemui,10007,1,0
1527427774693,com.android.systemui,10007,1,0
1527427794821,com.android.systemui,10007,1,0
1527427814930,com.android.systemui,10007,1,0
1527427845128,com.android.systemui,10007,1,0
1527427865230,com.android.systemui,10007,1,0
1527427885355,com.android.systemui,10007,1,0
1527427905475,com.android.systemui,10007,1,0
1527427914516,com.google.android.gm,10125,1,0
1527427914586,com.google.android.gm,10125,1,0
1527427925591,com.android.systemui,10007,1,0
1527427955764,com.android.systemui,10007,1,0
1527427975952,com.android.systemui,10007,1,0
1527427995983,com.android.systemui,10007,1,0
1527428016141,com.android.systemui,10007,1,0
1527428036248,com.android.systemui,10007,1,0
1527428066428,com.android.systemui,10007,1,0
1527428086557,com.android.systemui,10007,1,0
1527428106679,com.android.systemui,10007,1,0
1527428126795,com.android.systemui,10007,1,0
1527428146897,com.android.systemui,10007,1,0
1527428177098,com.android.systemui,10007,1,0
1527428197311,com.android.systemui,10007,1,0
1527428217346,com.android.systemui,10007,1,0
1527428237469,com.android.systemui,10007,1,0
1527428257584,com.android.systemui,10007,1,0
1527428277693,com.android.systemui,10007,1,0
1527428297818,com.android.systemui,10007,1,0
1527428328016,com.android.systemui,10007,1,0
1527428348032,com.android.systemui,10007,1,0
1527428356106,kr.co.rinasoft.howuse,10251,1,0
1527428378278,com.android.systemui,10007,1,0
1527428408475,com.android.systemui,10007,1,0
1527428428654,com.android.systemui,10007,1,0
1527428458779,com.android.systemui,10007,1,0
1527428478894,com.android.systemui,10007,1,0
1527428489146,com.facebook.orca,10292,1,0
1527428509052,com.android.systemui,10007,1,0
1527428539224,com.android.systemui,10007,1,0
1527428557839,com.kakao.talk,10194,1,0
1527428559292,com.android.systemui,10007,1,0
1527428561838,kr.co.rinasoft.howuse,10251,1,0
1527428599541,com.android.systemui,10007,1,0
1527428629723,com.android.systemui,10007,1,0
1527428649860,com.android.systemui,10007,1,0
1527428669958,com.android.systemui,10007,1,0
1527428700231,com.android.systemui,10007,1,0
1527428720278,com.android.systemui,10007,1,0
1527428740402,com.android.systemui,10007,1,0
1527428760470,com.android.systemui,10007,1,0
1527428767149,kr.co.rinasoft.howuse,10251,1,0
1527428790692,com.android.systemui,10007,1,0
1527428820858,com.android.systemui,10007,1,0
1527428840970,com.android.systemui,10007,1,0
1527428845095,gogolook.callgogolook2,10287,1,0
1527428845273,com.samsung.android.incallui,1001,1,0
1527428846379,com.samsung.android.incallui,1001,1,0
1527428847171,com.samsung.android.incallui,1001,1,0
1527428847330,com.samsung.android.incallui,1001,1,0
1527428847391,com.samsung.android.incallui,1001,1,0
1527428847458,com.samsung.android.incallui,1001,1,0
1527428851140,gogolook.callgogolook2,10287,1,0
